party,tweet
AfD,maaßen sagt die wahrheit  und seehofer lässt sich von linksradikalen kräften in der spd treiben und versetzt maaßen in den ruhestand dies ist ein weiterer tiefpunkt der groko zeit dass die regierung geht zeit für die afd
AfD,fassungslos
AfD,so sieht horstis heißluft generator nr 4 aus wir glauben nicht dass sich irgendetwas innerhalb der nächsten zwei wochen ändert glauben sie es zeit für afd afdwirkt 2015 jan 2016 sept 2016
AfD,ja kann ich komme sie vorbei und ich erkläre es ihnen
AfD,danke imad karim braucht sein gewissen wieder deshalb wähle ich am 2409 die afd traudichdeutschland https
AfD,guten morgen  zeit für ein land in dem frauen sich wieder angstfrei bewegen können zeit für die afd
AfD,die demokratie wird auch in deutschland siegen
AfD,sanktionen eu will keinen kaviar keinen wodka keine diamanten aus russland mehr via
AfD,dwn
AfD,hamburg pflegebedürftige müssen asylbewerbern weichen junge freiheit
AfD,dringend ansehen sowas sieht man in deutschland nicht am sonntag afd wählen
AfD,damit europa nicht scheitert wählen sie die alternative
Bündnis 90/Die Grünen,mein herz hüpft borgen
Bündnis 90/Die Grünen,ca 1 mio menschen mussten bei der leningrader blockade im 2 weltkrieg verhungern sie hat überlebt heute wird sie bei
Bündnis 90/Die Grünen,wir wollen nicht nur die schlimmsten schäden adressieren sondern auch das schlimmste verhindern  mdb
Bündnis 90/Die Grünen,dies geht raus an alle menschen ob hauptamtliche oder freiwillige die heute bei der kälte in impfzentren arbeiten ih
Bündnis 90/Die Grünen,laut presse haben wir viel gestritten  aber in unseren themen geht es um die hohe kunst der diplomatie außen zusammenhalt über grenzen hinweg entwicklung amp erfolgreiche tarnung verteidigung von vielen dank für einsatz fairness amp mut zu neuen wegen ampel
Bündnis 90/Die Grünen,wir sollten alle einmal darüber nachdenken was wir mit 14 für einen mist geredet haben ich bin froh dass ich damals k
Bündnis 90/Die Grünen,da jetzt alle triell wahlarena und klartext sendungen mit und durch sind und einzelne au
Bündnis 90/Die Grünen,die klimakrise regelt kein markt es braucht eine politik die sagt wir machen das jetzt und nicht eine politik die 17
Bündnis 90/Die Grünen,vielleicht liegt es ja an mir aber die erklärung man habe gedacht kabul würde nicht so schnell eingenommen werden
Bündnis 90/Die Grünen,ich glaub es war ochsenhausen  bad waldsee  wangen  lindau das war echt sehr tapfer
Bündnis 90/Die Grünen,man muss fairerweise festhalten kanzlerkandidatin annalena baerbock  schlägt sich im rededuell
Bündnis 90/Die Grünen,abschlussbericht zu ksk darf nicht aktendeckel amp schlussstrich bedeuten zu groß amp gravierend die immer noch offenen fragen zu rechtsextremen vorfällen umgang mit munition fragwürdigen verträgen amp vergaberechtsverstößen werden nicht locker lassen amp weiter aufklärung fordern
Bündnis 90/Die Grünen,klimaschutz muss der kern jedes politischen handelns werden und zwar ressortübergreifend on fire im bundesta
Bündnis 90/Die Grünen,allesistdrin ab morgen wählen wir von mit unserer landesliste unser team für die bundestagswahl amp ich bewerbe mich auf platz 1 die zeit für bessere politik ist jetzt hier gibt es meine bewerbung  amp bilanz  ldkbw
Bündnis 90/Die Grünen,liebe es dass es als ehrenerklärung gilt wenn parlamentarier unterschreiben sich nicht persönlich an der pandemie
Bündnis 90/Die Grünen,die klimakrise ist übrigens kein parteithema sondern ein thema für alle die auf diesem planeten leben also solange ih
Bündnis 90/Die Grünen,nordstream2 war ist und bleibt der fossile spaltpilz in europa die pipeline muss gestoppt werden bevor
Bündnis 90/Die Grünen,was für ein jahr 2020 haben sich so viele gegen die coronapandemie gestemmt für die rechte von geflüchteten gekämpf
Bündnis 90/Die Grünen,die vnmandatspassage hätte ich auch gelobt
Bündnis 90/Die Grünen,22 shecurity
Bündnis 90/Die Grünen,heute um 1830 uhr beginnt unsere digitale veranstaltung mit   amp
Bündnis 90/Die Grünen,es reicht noch nicht wenn harte maßnahmen auf dem papier stehen wir werden die verteidigungsministerin daran messen ob das paket auch umgesetzt wird sie muss den kampf gegen rechtsextremismus weiter zur chefinnensache machen
Bündnis 90/Die Grünen,der 8mai ist für mich das ende des bösartigsten regimes das die welt jemals gesehen hat und zugleich eine immerwährende mahnung für ein nie wieder
Bündnis 90/Die Grünen,aber ich würde auch so nicht missen wollen
Bündnis 90/Die Grünen,heute ist es leider soweit großbritannien tritt aus der europäischen union aus für uns ist das ein trauriger tag w
Bündnis 90/Die Grünen,wir sind mehr in realität angekommen ohne idealismus zu verlieren  bielefeld 1999 und 2019 die und auslands
Bündnis 90/Die Grünen,wenn frauen über disziplinen ampparteigrenzen hinweg zusammenarbeiten amp netzwerke bilden dann bewegt sich was europa
Bündnis 90/Die Grünen,respekt dass andrea nahles hier eine klare entscheidung trifft wir hoffen dass die spd rasch ihre personalfragen klärt un
Bündnis 90/Die Grünen,gemeinsam auf der suche nach dem gegengift  unser fachgespräch zu desinformation am 6 mai bei mit ua jetzt hier kostenfrei anmelden
Bündnis 90/Die Grünen,bei pegida meinten viele man müsse die sorgen der bürger ernst nehmen komisch bei fridaysforfuture haben ich von den
Bündnis 90/Die Grünen,die stiftung lädt ein zur diskussion über schattenseiten der künstlichen intelligenz und autonome waffensysteme
Bündnis 90/Die Grünen,die afd sollte wenigstens den mut haben ehrlich in ihrem hass zu sein amp zu sagen dass sie migrantinnen und migranten ihre menschenrechte abspricht migrationspakt
Bündnis 90/Die Grünen,da sagt man mal was positives weil man davon überzeugt ist und wird dann gleich als zahm diffamiert
Bündnis 90/Die Grünen,jetzt mal ehrlich  wenn der brexitbrief von seehofer der die gesamte arbeit der bundesregierung seit dem
Bündnis 90/Die Grünen,ich war acht und konnte als kind nicht fassen dass menschen andere menschen hassen und umbringen nur weil sie woanders herkommen das hat mich verändert die entsetzlichen ereignisse in solingen sind mehr als nur eine mahnende erinnerung werden amp dürfen opfer nichtvergessen
Bündnis 90/Die Grünen,jetzt im debatte um die fortsetzung des bundeswehreinsatzes in mali  eutmmali für uns spri
Bündnis 90/Die Grünen,der und die physik die einzige physikalische gewissheit wir werden absaufen wenn wir einfach so weitermac
Bündnis 90/Die Grünen,die groko hat einen koalitionsvertrag ein hartes ringen um kompromisse klar doch der vertrag bleibt frickelwerk kli
Bündnis 90/Die Grünen,funfact beim kommunistischen enteignungsprogramm der 2013 galt der erhöhte spitzensteuersatz erst ab 80000 e
Bündnis 90/Die Grünen,man sollte jetzt auch nicht andauernd von krise sprechen weder die verfassung ist in der krise noch der bundestag und e
Bündnis 90/Die Grünen,spieltag ist feiertag bvbbmg 61
Bündnis 90/Die Grünen,gute pflege garantierente gesundheit amp günstiges wohnen über gutes leben im alter haben wir in amtzell diskutiert
Bündnis 90/Die Grünen,ca 40 mrd versenkt können wir uns diesen finanzminister noch leisten amp ich zu cumex amp atomsteuer https
Bündnis 90/Die Grünen,elfmeter im halbfinale super stimmung in wangen
Bündnis 90/Die Grünen,absolutes nogo staatssekretärin im wirtschaftsministerium darf doch nicht werbeträgerin von rüstungsunternehmen sein
Bündnis 90/Die Grünen,über nacht wird milliardendeal aus dem ärmel geschüttelt transparenteamplangfristige rüstungsplanung sieht anders aus
Bündnis 90/Die Grünen,werden im text zwar erwähnt bleiben aber sehr floskelhaft mehr personal geld strukturen gibts praktisch va fürs militär
Bündnis 90/Die Grünen,afdler streiten sich mit intrigen um ihren platz an den fleischtöpfen der macht das muss diese alternative politik sein
Bündnis 90/Die Grünen,statt einzelner katastrophennews bei a400m mal ein längeres lesenswertes stück in von
Bündnis 90/Die Grünen,zwischen wort und tat klafft bei gabriel eine hässliche lücke der verantwortungslosigkeit mehr in meiner rede
Bündnis 90/Die Grünen,i was held hostage by isis they fear our unity more than our airstrikes  nicolas hnin
Bündnis 90/Die Grünen,unbedingt hingehen danke an für ihr großartiges engagement
Bündnis 90/Die Grünen,jeder mensch hat ein recht auf ein asylverfahren jeder mensch der politisch verfolgt ist hat recht auf asyl
Bündnis 90/Die Grünen,neue wikileaksdokumente zeigen die nsa spähte neben merkel auch minister amp beamte aus szexklusiv
Bündnis 90/Die Grünen,betrugsvorwürfe anonyme anzeige von 2011 wirft heckler amp koch betrug an der bundeswehr beim g36 vor  der film
Bündnis 90/Die Grünen,ich pass da immer auf dass niemand gucken kann und die fülle an abkürzungen versteht ja eh niemand fachfremdes
Bündnis 90/Die Grünen,heute ist redhandday kinder müssen kinder sein dürfen meine rote hand gegen d missbrauch von kindern als soldaten
Bündnis 90/Die Grünen,read our exclusive interview with bryan adams on his photos of wounded veterans
Bündnis 90/Die Grünen,lieber lars es reicht langsam
Bündnis 90/Die Grünen,extrem cooles krimikätzchen
Bündnis 90/Die Grünen,ein telefonkonferenzprodukt
Bündnis 90/Die Grünen,prinzipiell feuerbereit verteidigungsministerium will offenbar bewaffnungsfähige drohnen
Bündnis 90/Die Grünen,der gutelauneworkshop auf dem grünen parteitag lr14
Bündnis 90/Die Grünen,geschäft bleibt offenbar geschäft
Bündnis 90/Die Grünen,wie jedes jahr grüner politischer aschermittwoch in biberach laut der veggieday nach fasnet oder so pam14
Bündnis 90/Die Grünen,liebe  das ist großartig
Bündnis 90/Die Grünen,see how the un mission in southsudan promotes human rights in the country
Bündnis 90/Die Grünen,die größten strategen stolpern meistens über ihre strategien
Bündnis 90/Die Grünen,dank und verabschiedung der grünen kollegen und kolleginnen aus der letzten fraktion emotional
Bündnis 90/Die Grünen,zu viel respekt darf man nicht haben  u über ihre bundestagsarbeit http
Bündnis 90/Die Grünen,hab grad meinen tollen kollegen auf twitter entdeckt
Bündnis 90/Die Grünen,over 3000 have added their twignature rt this add your own for a strong armstreaty
Bündnis 90/Die Grünen,rede zur haushaltsdebatte morgen endlich fertigampum 730 morgen dann sonderverteidigungsausschuss zur stationierung patriots in der türkei
Bündnis 90/Die Grünen,grünlinksdenken startet frageaktion an die urwahlkandidatinnen schickt uns eure fragen gruenlinks
Bündnis 90/Die Grünen,nach langen zugfahrten kürzere todolisten
Bündnis 90/Die Grünen,nach einem wunderschönen neujahrsempfang in ravensburg am wochenende schon mitten im trubel der ersten sitzungswoche
Bündnis 90/Die Grünen,sitzt im bundestag und denkt darüber nach wie es so ohne gültiges wahlrecht ist bananenrepublik fb
Bündnis 90/Die Grünen,tolle termine zu jugend und sozialer stadt in pforzheim jetzt auf dem weg ins jugendhaus in badwildbad zu jugend und politik
Die Linke,heute waren wir mit über 300 teilnehmerinnen beim ostermarsch in heidelberg ich habe mich über die vielen positiven rückmeldungen zu meiner rede sehr gefreut vielen dank an das friedensbündnis heidelberg für die einladung neinzumkrieg
Die Linke,akpli cumhurbakan erdoan avrupa alevi örgütlenmesini hedef alarak almanya hükümetinden 30 milyon euro destek aldklarn iddia etmiti bu yalanlara belgelerle yant verebilmek iin soru önergesi hazrladk ve 30 milyon alnmadn belgeledik
Die Linke,morgen 60jahre gastarbeiter zum jahrestag des abkommens mit der türkei haben uns zeitzeuginnen ihre geschichten vom
Die Linke,abdurrahim özüdoru wurde am 13 juni 2001 in nürnberg vom nsutrio ermordet heute abend lese ich beim die aussagen von tulin özüdoru seiner tochter die sie im prozess getätigt hat keinvergessen nsuprozess saytheirnames saal101nsuprozess kunstfest
Die Linke,ich freue mich auf die veranstaltung am wochenende gemeinsam mit teilnemerinnen der friedensdelegation delegation4peace in mannheim
Die Linke,in allen großen städten explodieren die mieten der berliner mietendeckel senkte überhöhte mieten für hunderttausende
Die Linke,internationalwomensday
Die Linke,solidarität mit hozanecane der prozess wurde vertragt der skandal bleibt d bka gab daten an türk behörden sodass ein vorfall der in deutschland geschah amp nach dt gesetz nicht strafbar war nun in der türkei zu einer verurteilung führen könnt
Die Linke,unsere kreissprecherin jori fesser wird am samstag 28112020 die veranstaltung wie bildungsgerecht ist badenwürttemberg moderieren ihr statement zur bildungsgerechtigkeit in bawü findet ihr auf  bildung schule
Die Linke,die anzahl der menschen die undokumentiert und somit unversichert in deutschland leben ist hoch schätzungen gehen von 200000 bis 600000 menschen aus
Die Linke,hey  genau in m nachfrage gehts um d aufschlüsselung d bls zur aufnahme v kranken behandlungsbedürftigen kinder amp kernfamilien aus griechenland die kriterien d aufnahme sind viel zu eng gefasst m kritik dazu im tagesspiegel artikel
Die Linke,almanyadaki meslektalarmza armz gelin hep birlikte meslektalarmzn özgürlüü iin erdoann terörüne kar
Die Linke,am dienstag wurde in celle ein junge aus dem irak auf offener straße erstochen und ermordet kam der angriff wirklich aus dem nichts ich bin entsetzt meine trauer und mitgefühl gilt der familie von arkan rip nichtvergessen
Die Linke,soforthilfe ist ein falsches wort die helfen nicht die schotten ab menschen fliehen auch vor den waffen die die u
Die Linke,es ist wichtig ein signal gegen die tödliche abschottungspolitik zu setzen deshalb freuen wir uns dass unser antrag heute im bundestag debattiert wird wir sollten zeigen dass es auch ein solidarisches europa geben kannwirhabenplatz
Die Linke,die klimakrise ist ein angriff auf die ärmsten der armen weltweit am tagdermenschenrechte werden wir daran erinnert essen
Die Linke,rassismus ist der gesellschaft ist immer da sehr stark wo kaum ausländer leben mit den afdergebnisse bestätigt sich die theorie deutschland merkste selbst oder noafd ausländer arbeitslosigkeit
Die Linke,die forderung für das kommunale wahlrecht aller hier lebenden drittstaatlerinnen unterstützen wir als seit jahren unsere unterstützung habt ihr bzi migration partizipation
Die Linke,ein jahr nach seehofers masterplanmigration retten vor allem freiwillige schutzsuchende aus dem mittelmeer gebracht hat der masterplan abschottung asylrechtsverschärfungen amp restriktionen aber keine europäische lösung seenotrettung
Die Linke,wo ist denn der aufschrei der lieber  wenn die spd mal wieder die rechte von asylsuchenden und geduldeten a
Die Linke,thüringen hat keinen oberbürgermeister und ich lasse mich nicht auf die palmer bringen bitte bild so geht das wirkl
Die Linke,ab minute 1457 spricht zur und zum hungerstreik ua von leylagüven
Die Linke,solidarität mit vom  ich bin sprachlos dass du eine geldstrafe erhalten hast und so für deinen mut und widerstand kriminalisiert wirst deine zivilcourage gegen rassismus selbstverständlich und notwendig
Die Linke,media fact sheet global compact on refugees
Die Linke,90 tote jeden tag die entwertung der antibiotika durch masseneinsatz bei mensch und vieh verursacht unermessliches leid und
Die Linke,wer bestimmt was heimat ist  morgen ist unsere sprecherin in der runde zu sehen 2215  nic
Die Linke,schwetzingen rechte versuchen eklat bei grünenveranstaltung
Die Linke,das c in steht für chaos um menschliche lösungen geht es schon lange nicht mehr statt gegen kinderarmut
Die Linke,gratulation to eire irlands bevölkerung stimmt mit 68 für legale möglichkeit der abtreibung und damit für das recht auf
Die Linke,okay dann tamam
Die Linke,verdammt gutes podium bei bewegungslinke zu den grundpfeilern einer linken flüchtlings und migrationspolitik große ein
Die Linke,krankenhausmitarbeiter legen arbeit nieder warnstreik an uniklinik
Die Linke,neue dimension der brutalität
Die Linke,mehmet turgut ist eins von 10 opfern des nsu seit 1990 sind mindestens 193 menschen durch rechtsextreme gewalt ums lebe
Die Linke,neben der arbeit angehörige zu pflegen ist eine große herausforderung vor allem frauen geben dafür oft ihren beruf
Die Linke,heute stimmte der bundestag endlich für die einsetzung der fachausschüsse die von uns bereits unmittelbar nach der kons
Die Linke,ehrung für kampf gegen atomwaffen dresdner ippnwärztin ist dabei wenn am sonntag der friedensnobelpreis in oslo vergeb
Die Linke,die videoüberwachung soll nach dem willen der stadtverwaltung in mannheim mit 71
FDP,eine entscheidung wie die von benandjerrys fördert bewusst oder unbewusst massiv den antisemitismus und ist besonders perfide wenn die begründung die vermeintlich besonders anspruchsvolle corporate social responsibility des unternehmens sei
FDP,wir wissen aus der geschichte dass eine politik die auf wut setzt in die katastrophe führt  generalsekretär guterres  die steht deshalb für eine friedliche wirtschaftspolitik ein politische konflikte dürfen nicht als handelskriege austragen werden tk
FDP,das freihandelsabkommen mit vietnam ist ein meilenstein in den beziehungen zwischen vietnam und deutschland staatsminister hat absolut recht dieses wichtige abkommen im beisein zahlreicher botschafter auf dem 74 nationalfeiertag vietnams in berlin zu erwähnen
FDP,wir haben inzwischen ein systemproblem cdu spricht im morning briefing podcast über die krise der volk
CSU,csubtchef alexander dobrindt hat mit  amp die premierministerin v mold
CSU,ttip kommission will handelsabkommen noch 2016 abschließen
